datetime,side,price,shares,pnl
2017-09-26 16:56,SELL,386.7,100,30.0
2017-09-26 16:58,BUY,386.8,100,0.0
2017-09-26 17:00,SELL,386.4,100,-40.0
2017-09-26 17:04,BUY,386.6,100,0.0
2017-09-26 17:09,SELL,386.9,100,30.0
2017-09-26 17:10,BUY,387.0,100,0.0
2017-09-26 17:13,SELL,387.0,100,0.0
2017-09-26 17:18,BUY,386.75,100,0.0
2017-09-26 17:24,SELL,386.9,100,15.0
2017-09-26 17:25,BUY,387.45,100,0.0
2017-09-26 17:29,SELL,387.6,100,15.0
2017-09-26 17:38,BUY,387.05,100,0.0
2017-09-26 17:41,SELL,386.7,100,-35.0
2017-09-26 17:46,BUY,386.6,100,0.0
2017-09-26 17:52,SELL,386.85,100,25.0
2017-09-26 17:53,BUY,386.9,100,0.0
2017-09-26 17:54,SELL,387.0,100,10.0
2017-09-26 18:01,BUY,386.9,100,0.0
2017-09-26 18:10,SELL,387.0,100,10.0
2017-09-26 18:13,BUY,387.2,100,0.0
2017-09-26 18:15,SELL,387.05,100,-15.0
2017-09-26 18:19,BUY,387.15,100,0.0
2017-09-26 18:22,SELL,386.7,100,-45.0
2017-09-26 18:25,BUY,387.2,100,0.0
2017-09-26 18:27,SELL,386.9,100,-30.0
2017-09-27 12:16,BUY,387.25,100,0.0
2017-09-27 12:17,SELL,386.1,100,-115.0
2017-09-27 12:20,BUY,387.9,100,0.0
2017-09-27 12:24,SELL,388.0,100,10.0
2017-09-27 12:29,BUY,388.1,100,0.0
2017-09-27 12:30,SELL,387.65,100,-45.0
2017-09-27 12:35,BUY,387.6,100,0.0
2017-09-27 12:38,SELL,387.2,100,-40.0
2017-09-27 12:44,BUY,387.2,100,0.0
2017-09-27 12:48,SELL,386.95,100,-25.0
2017-09-27 12:55,BUY,387.1,100,0.0
2017-09-27 12:58,SELL,387.0,100,-10.0
2017-09-27 12:59,BUY,387.05,100,0.0
2017-09-27 13:02,SELL,386.7,100,-35.0
2017-09-27 13:05,BUY,387.25,100,0.0
2017-09-27 13:08,SELL,386.8,100,-45.0
2017-09-27 13:10,BUY,387.1,100,0.0
2017-09-27 13:13,SELL,386.45,100,-65.0
2017-09-27 13:19,BUY,386.2,100,0.0
2017-09-27 13:22,SELL,385.7,100,-50.0
2017-09-27 13:34,BUY,384.8,100,0.0
2017-09-27 13:37,SELL,384.0,100,-80.0
2017-09-27 13:44,BUY,383.6,100,0.0
2017-09-27 13:51,SELL,384.0,100,40.0
2017-09-27 13:52,BUY,384.0,100,0.0
2017-09-27 13:53,SELL,384.1,100,10.0
2017-09-27 13:55,BUY,384.1,100,0.0
2017-09-27 13:56,SELL,383.8,100,-30.0
2017-09-27 14:01,BUY,384.0,100,0.0
2017-09-27 14:04,SELL,383.6,100,-40.0
2017-09-27 14:08,BUY,383.75,100,0.0
2017-09-27 14:16,SELL,383.9,100,15.0
2017-09-27 14:18,BUY,384.6,100,0.0
2017-09-27 14:21,SELL,384.2,100,-40.0
2017-09-27 14:23,BUY,384.3,100,0.0
2017-09-27 14:25,SELL,384.3,100,0.0
2017-09-27 14:33,BUY,383.6,100,0.0
2017-09-27 14:34,SELL,383.4,100,-20.0
2017-09-27 14:38,BUY,383.6,100,0.0
2017-09-27 14:41,SELL,382.9,100,-70.0
2017-09-27 14:45,BUY,383.15,100,0.0
2017-09-27 14:46,SELL,383.15,100,0.0
2017-09-27 14:48,BUY,383.3,100,0.0
2017-09-27 14:51,SELL,383.0,100,-30.0
2017-09-27 14:57,BUY,382.4,100,0.0
2017-09-27 15:01,SELL,381.9,100,-50.0
2017-09-27 15:05,BUY,381.9,100,0.0
2017-09-27 15:06,SELL,382.15,100,25.0
2017-09-27 15:08,BUY,382.2,100,0.0
2017-09-27 15:12,SELL,382.2,100,0.0
2017-09-27 15:17,BUY,382.2,100,0.0
2017-09-27 15:21,SELL,381.1,100,-110.0
2017-09-27 15:25,BUY,381.1,100,0.0
2017-09-27 15:26,SELL,380.4,100,-70.0
2017-09-27 15:29,BUY,381.0,100,0.0
2017-09-27 15:31,SELL,380.6,100,-40.0
2017-09-27 15:43,BUY,378.3,100,0.0
2017-09-27 15:51,SELL,380.35,100,205.0
2017-09-27 15:59,BUY,380.1,100,0.0
2017-09-27 16:01,SELL,378.6,100,-150.0
2017-09-27 16:05,BUY,378.4,100,0.0
2017-09-27 16:06,SELL,377.7,100,-70.0
2017-09-27 16:10,BUY,377.4,100,0.0
2017-09-27 16:12,SELL,376.9,100,-50.0
2017-09-27 16:14,BUY,377.55,100,0.0
2017-09-27 16:17,SELL,377.55,100,0.0
2017-09-27 16:18,BUY,377.9,100,0.0
2017-09-27 16:22,SELL,377.9,100,0.0
2017-09-27 16:24,BUY,377.75,100,0.0
2017-09-27 16:25,SELL,377.3,100,-45.0
2017-09-27 16:28,BUY,378.2,100,0.0
2017-09-27 16:35,SELL,378.2,100,0.0
2017-09-27 16:39,BUY,378.2,100,0.0
2017-09-27 16:40,SELL,378.2,100,0.0
2017-09-27 16:42,BUY,378.5,100,0.0
2017-09-27 16:47,SELL,378.7,100,20.0
2017-09-27 16:48,BUY,378.9,100,0.0
2017-09-27 16:56,SELL,379.3,100,40.0
2017-09-27 17:01,BUY,379.0,100,0.0
2017-09-27 17:02,SELL,378.6,100,-40.0
2017-09-27 17:08,BUY,378.0,100,0.0
2017-09-27 17:10,SELL,378.0,100,0.0
